wkn,name,instrument_id
A0X895,L+G-L+G DAX DAILY 2X LONG,1131843
A0X896,L+G-L+G DAX D.2X SHORT,1131846
A0X8R9,ISHSVII-MSCI UK S.C.LSACC,48068
A0X8SB,ISHSVII-MSCI USA SC DL AC,44474
A0X8SE,CS ETF(IE)MSCI EMU SM.CAP,44939
A0X8SG,ISHSVII-DLTB.1-3YR DLACCB,1372035
A0X8SK,CS ETF(IE)IB.EUR GOV.1-3,49703
A0X8SL,CS ETF(IE)IB.EUR GOV.3-7,52010
A0X8SM,CS ETF(IE)IB.EUR GOV.7-10,47504
A0X8ZS,AMUNDI ETF LEV. USA,43496
A0X8ZY,AMUNDI ETF SH.EOSTXX 50 D,54953
A0X97P,UBS-ETF MSCI EUROPE,54941
A0X97R,UBS-ETF EMU VALUES,56192
A0X97T,UBS-ETF MSCI PACIFIC EX JAPAN,45128
A0X97V,UBSLFS-MSCI CANADA CDAD,58694
A0X9PC,AMUNDI ETF SHT USA,73808
A0X9QJ,AMUNDI ETF STOXX EURO.50,178812
A0YDPY,IS GOLD CHF HGD ETF (CH),598702
A0YEDG,CS ETF(IE)ON S+P 500,42965
A0YEDJ,ISHSVII-C.EO STXX50 EOACC,53954
A0YEDK,ISHSVII-DJIA DL ACC,51995
A0YEDL,ISHSVII-NASDAQ 100 DL ACC,48380
A0YEDM,ISHS7-C.FTSE 100 E.LS ACC,43961
A0YEDP,ISHSVII-FTSE MIB EO ACC,51944
A0YEDQ,CS ETF(IE)ON NIKKEI 225,54395
A0YEDR,ISHSVII-C.MSCI P.XJPDLACC,49820
A0YEDS,ISHSVII-MSCI CANADA DLACC,49610
A0YEDT,ISHSVII-MSCI UK LS ACC,42509
A0YEDU,ISHSVII-MSCI USA DL ACC,60233
A0YEDV,CS ETF(IE)ON MSCI JAPAN,58199
A0YEDX,CS ETF(IE)ON MSCI EMU,53093
A0YESX,INVESCOMI EURO STOXX50 D,58565
A0YF2V,AMUNDI ETF MSCI EU X EMU,52265
A0YF4H,HSBC EURO STOXX 50 UC.ETF,1107236
A0YJ80,ISHSIII-MSCI AUSTR.DLACC,51671
A0YJ8Y,ISHSIII-MSCI S.AFR.DLACC,83766
A0YKNJ,INVESCOMI INVESCO RDX A,494643
A108U8,WITR MU.AS.I.MIB ETP 2062,1372068
A1103D,DB X-TRACKERS EQUITY QUALITY FACTOR UCITS ETF,67529
A1103E,DB X-TRACKERS EQUITY VALUE FACTOR UCITS ETF,67523
A1103F,DB X-TRACKERS EQUITY LOW BETA FACTOR UCITS ETF,67532
A1103G,DB X-TRACKERS EQUITY MOMENTUM FACTOR UCITS ETF,67526
A1106A,DBX S&P 500 EQUAL,96819
A110Q5,UBS US Liq. Corps (USD),178611
A110Q8,UBS US Liq. Corps (hedgd EUR),178566
A110QD,UBSLFS-MSCI EM S.R. ADL,178698
A110QE,UBS-ETF-MSCI E.MA.S.R.ADL,902040
A110QF,UBS Euro Area Liq. Corps 1-5 Yr.,178452
A110QP,UBS US Liq. Corps 1-5 Yr.,178596
A110QS,UBS US Liq. Corps 1-5 Yr hdg EUR,178605
A111X9,IS C.MSCI EMIMI U.ETF DLA,49598
A111YA,ISHSV-MSCI EM CO.GWTH DLA,270360
A111YB,I2-I.MSCI USA QD.UETF DLD,51824
A113FC,X(IE)-FTSE A.WO.X UK 1CLS,1415915
A113FD,X(IE)-MSCI WO.HE.CA. 1CDL,232524
A113FE,DBX MSCI WORLD FINANCIALS,240381
A113FF,X(IE)-MSCI WO.ENERGY 1CDL,317170
A113FG,DBX MSCI CONSUMER STAPLES,235734
A113FH,DBX MSCI WORLD CONSUMER,248913
A113FJ,DBX MSCI WORLD UTILITIES,317167
A113FK,DBX MSCI WORLD TELECOM,272343
A113FL,DBX MSCI WORLD MATERIALS,317164
A113FM,DBX MSCI WORLD INFO TECH ETF,317161
A113FN,DBX MSCI INDUSTRIALS,235737
A113FP,DBX S&P 500 3C,96813
A113FQ,X(IE)-S+P 500 2CLSH,1374258
A11471,UBS DJ Glob. Select Divid. USD,178794
A11477,UBS I.ETF-MSCIUK.I.S.R.AD,1662684
A114UD,P. SHARES GLO. BUYBACK,103929
A11562,IM-I.G.SACHS EQ.FA.I.EU.A,878098
A116QV,OSS.S.B.US S.V.T U.ETF1CE,178851
A116QX,OSSIAM SHLR BCLY CAPE ERP SV,67808
A11894,OSS.(L)-OSMAIGESC ETF1CEO,688555
A118P8,X(IE)-FTSE D.E.XUK R.E.1C,178746
A118V8,PIMCO LOW DUR EURO CORP BOND,316942
A1191M,MSCI EUROPE CONSUMER DISCRETIONARY,53909
A1191N,SPDR MSCI EUROPE C.S.UETF,47879
A1191P,SPDR MSCI EUR.ENERGY UETF,58388
A1191Q,SPDR MSCI EUR.UCITS ETF,45257
A1191R,MSCI EUROPE FINANCIALS,59777
A1191S,SPDR MSCI EUR.H.CAR.UETF,56264
A1191T,MSCI EUROPE INDUSTRIALS,55946
A1191U,MSCI EUROPE INFORMATION TECHNOLOGY,55484
A1191V,MSCI EUROPE MATERIALS,58637
A1191X,SPDR MSCI EUR.CO.SER.UETF,43988
A1191Y,SPDR MSCI EUR.UTIL.UETF,49217
A119GW,IM-I.JPX-NIKKEI 400A,878101
A119J2,X(IE)-MSCIJAESGSC 1D,178401
A119J3,X(IE)-MSCIJAESGSC 2DLSH,1372512
A119P6,SPDR BofA 0-5 Yr. EM USD Gov. Bd,178584
A12ATD,ISIV-MSCI FRAN. U.ETF EOA,154134
A12ATE,MSCI WORLD QUALITY FACTOR UCITS ETF,154149
A12ATF,MSCI WORLD MOMENTUM FACTOR UCITS ETF,162771
A12ATG,MSCI WORLD VALUE FACTOR UCITS ETF,154155
A12ATH,MSCI WORLD SIZE FACTOR UCITS ETF,154152
A12B98,X(IE)-MSCI GCC SEL.SW. 1C,178779
